2025-01-29 20:22:26,476 - INFO - Use pytorch device_name: cpu
2025-01-29 20:22:26,477 - INFO - Load pretrained SentenceTransformer: multi-qa-mpnet-base-dot-v1
2025-01-29 20:24:13,002 - INFO - Loading text file...
2025-01-29 20:24:13,003 - INFO - Chunking text...
2025-01-29 20:24:13,006 - INFO - Computing embeddings...
2025-01-29 20:24:13,007 - INFO - Starting embedding computation for 69 chunks
2025-01-29 20:24:13,537 - INFO - Processed chunk 1/69 (Time: 0.53s, Estimated remaining: 36.08s)
2025-01-29 20:24:14,012 - INFO - Processed chunk 2/69 (Time: 0.48s, Estimated remaining: 33.70s)
2025-01-29 20:24:14,454 - INFO - Processed chunk 3/69 (Time: 0.44s, Estimated remaining: 31.83s)
2025-01-29 20:24:14,749 - INFO - Processed chunk 4/69 (Time: 0.30s, Estimated remaining: 28.32s)
2025-01-29 20:24:15,083 - INFO - Processed chunk 5/69 (Time: 0.33s, Estimated remaining: 26.58s)
2025-01-29 20:24:15,358 - INFO - Processed chunk 6/69 (Time: 0.27s, Estimated remaining: 24.69s)
2025-01-29 20:24:15,680 - INFO - Processed chunk 7/69 (Time: 0.32s, Estimated remaining: 23.68s)
2025-01-29 20:24:16,033 - INFO - Processed chunk 8/69 (Time: 0.35s, Estimated remaining: 23.08s)
2025-01-29 20:24:16,391 - INFO - Processed chunk 9/69 (Time: 0.36s, Estimated remaining: 22.56s)
2025-01-29 20:24:16,707 - INFO - Processed chunk 10/69 (Time: 0.32s, Estimated remaining: 21.83s)
2025-01-29 20:24:17,074 - INFO - Processed chunk 11/69 (Time: 0.37s, Estimated remaining: 21.45s)
2025-01-29 20:24:17,432 - INFO - Processed chunk 12/69 (Time: 0.36s, Estimated remaining: 21.02s)
2025-01-29 20:24:17,786 - INFO - Processed chunk 13/69 (Time: 0.35s, Estimated remaining: 20.59s)
2025-01-29 20:24:18,042 - INFO - Processed chunk 14/69 (Time: 0.26s, Estimated remaining: 19.78s)
2025-01-29 20:24:18,300 - INFO - Processed chunk 15/69 (Time: 0.26s, Estimated remaining: 19.06s)
2025-01-29 20:24:18,681 - INFO - Processed chunk 16/69 (Time: 0.38s, Estimated remaining: 18.80s)
2025-01-29 20:24:18,962 - INFO - Processed chunk 17/69 (Time: 0.28s, Estimated remaining: 18.22s)
2025-01-29 20:24:19,217 - INFO - Processed chunk 18/69 (Time: 0.26s, Estimated remaining: 17.60s)
2025-01-29 20:24:19,467 - INFO - Processed chunk 19/69 (Time: 0.25s, Estimated remaining: 17.00s)
2025-01-29 20:24:19,705 - INFO - Processed chunk 20/69 (Time: 0.24s, Estimated remaining: 16.41s)
2025-01-29 20:24:19,958 - INFO - Processed chunk 21/69 (Time: 0.25s, Estimated remaining: 15.89s)
2025-01-29 20:24:20,333 - INFO - Processed chunk 22/69 (Time: 0.37s, Estimated remaining: 15.65s)
2025-01-29 20:24:20,774 - INFO - Processed chunk 23/69 (Time: 0.44s, Estimated remaining: 15.53s)
2025-01-29 20:24:21,245 - INFO - Processed chunk 24/69 (Time: 0.47s, Estimated remaining: 15.45s)
2025-01-29 20:24:21,634 - INFO - Processed chunk 25/69 (Time: 0.39s, Estimated remaining: 15.18s)
2025-01-29 20:24:22,078 - INFO - Processed chunk 26/69 (Time: 0.44s, Estimated remaining: 15.00s)
2025-01-29 20:24:22,386 - INFO - Processed chunk 27/69 (Time: 0.31s, Estimated remaining: 14.59s)
2025-01-29 20:24:22,690 - INFO - Processed chunk 28/69 (Time: 0.30s, Estimated remaining: 14.18s)
2025-01-29 20:24:23,037 - INFO - Processed chunk 29/69 (Time: 0.35s, Estimated remaining: 13.84s)
2025-01-29 20:24:23,478 - INFO - Processed chunk 30/69 (Time: 0.44s, Estimated remaining: 13.61s)
2025-01-29 20:24:23,825 - INFO - Processed chunk 31/69 (Time: 0.35s, Estimated remaining: 13.26s)
2025-01-29 20:24:24,117 - INFO - Processed chunk 32/69 (Time: 0.29s, Estimated remaining: 12.85s)
2025-01-29 20:24:24,456 - INFO - Processed chunk 33/69 (Time: 0.34s, Estimated remaining: 12.49s)
2025-01-29 20:24:24,826 - INFO - Processed chunk 34/69 (Time: 0.37s, Estimated remaining: 12.17s)
2025-01-29 20:24:25,183 - INFO - Processed chunk 35/69 (Time: 0.36s, Estimated remaining: 11.83s)
2025-01-29 20:24:25,507 - INFO - Processed chunk 36/69 (Time: 0.32s, Estimated remaining: 11.46s)
2025-01-29 20:24:25,856 - INFO - Processed chunk 37/69 (Time: 0.35s, Estimated remaining: 11.11s)
2025-01-29 20:24:26,113 - INFO - Processed chunk 38/69 (Time: 0.26s, Estimated remaining: 10.69s)
2025-01-29 20:24:26,491 - INFO - Processed chunk 39/69 (Time: 0.38s, Estimated remaining: 10.37s)
2025-01-29 20:24:26,758 - INFO - Processed chunk 40/69 (Time: 0.27s, Estimated remaining: 9.97s)
2025-01-29 20:24:27,010 - INFO - Processed chunk 41/69 (Time: 0.25s, Estimated remaining: 9.56s)
2025-01-29 20:24:27,321 - INFO - Processed chunk 42/69 (Time: 0.31s, Estimated remaining: 9.20s)
2025-01-29 20:24:27,616 - INFO - Processed chunk 43/69 (Time: 0.30s, Estimated remaining: 8.83s)
2025-01-29 20:24:27,907 - INFO - Processed chunk 44/69 (Time: 0.29s, Estimated remaining: 8.47s)
2025-01-29 20:24:28,206 - INFO - Processed chunk 45/69 (Time: 0.30s, Estimated remaining: 8.11s)
2025-01-29 20:24:28,522 - INFO - Processed chunk 46/69 (Time: 0.32s, Estimated remaining: 7.76s)
2025-01-29 20:24:28,808 - INFO - Processed chunk 47/69 (Time: 0.29s, Estimated remaining: 7.40s)
2025-01-29 20:24:29,124 - INFO - Processed chunk 48/69 (Time: 0.32s, Estimated remaining: 7.05s)
2025-01-29 20:24:29,410 - INFO - Processed chunk 49/69 (Time: 0.29s, Estimated remaining: 6.70s)
2025-01-29 20:24:29,702 - INFO - Processed chunk 50/69 (Time: 0.29s, Estimated remaining: 6.34s)
2025-01-29 20:24:29,996 - INFO - Processed chunk 51/69 (Time: 0.29s, Estimated remaining: 6.00s)
2025-01-29 20:24:30,308 - INFO - Processed chunk 52/69 (Time: 0.31s, Estimated remaining: 5.66s)
2025-01-29 20:24:30,599 - INFO - Processed chunk 53/69 (Time: 0.29s, Estimated remaining: 5.31s)
